"","V1","V2","V3"
"1",6.08143333333333,50.7770666666667,-70.0104239555813
"2",6.08145,50.7770833333333,-71.884155756135
"3",6.08146666666667,50.7771,-72.4797359952891
"4",6.08148333333333,50.7771,-73.9171838299412
"5",6.0815,50.7771166666667,-73.5428209107528
"6",6.08151666666667,50.7771333333333,-75.5349249454277
"7",6.08153333333333,50.77715,-74.2897048449395
"8",6.08156666666667,50.7771666666667,-74.2032097012007
"9",6.08158333333333,50.7771666666667,-74.2467976943687
"10",6.0816,50.7771833333333,-72.6284295842725
"11",6.08161666666667,50.7772,-73.1534940533739
"12",6.08163333333333,50.7772166666667,-74.1777742845082
"13",6.08165,50.7772333333333,-74.2268418175733
"14",6.08166666666667,50.7772333333333,-73.7814134224344
"15",6.08168333333333,50.77725,-73.2429796905326
"16",6.0817,50.7772666666667,-71.6725676848787
"17",6.08173333333333,50.7772833333333,-71.4522697723717
"18",6.08175,50.7773,-73.145342317502
"19",6.08176666666667,50.7773166666667,-73.8161834278386
"20",6.08178333333333,50.7773333333333,-73.5484848197357
"21",6.08181666666667,50.7773333333333,-71.8703667955577
"22",6.08183333333333,50.77735,-72.3548970456175
"23",6.08185,50.7773666666667,-71.5052211989
"24",6.08186666666667,50.7773833333333,-71.8807464213211
"25",6.08188333333333,50.7774,-71.8829456758595
"26",6.08191666666667,50.7774166666667,-71.6892756507307
"27",6.08193333333333,50.7774333333333,-75.2509586233217
"28",6.08195,50.7774333333333,-76.7750936148978
"29",6.08196666666667,50.77745,-77.2044847327748
"30",6.082,50.7774666666667,-77.1920143124466
"31",6.08201666666667,50.7774666666667,-75.6638893142324
"32",6.08205,50.7774833333333,-75.7936365086415
"33",6.08206666666667,50.7775,-76.0348218957583
"34",6.08208333333333,50.7775166666667,-74.0882166600305
"35",6.0821,50.7775166666667,-75.6394031131137
"36",6.08213333333333,50.7775333333333,-76.8614003788003
"37",6.08215,50.77755,-78.2819848437125
"38",6.08218333333333,50.77755,-79.6658450423253
"39",6.0822,50.7775666666667,-80.8838773624697
"40",6.08221666666667,50.7775666666667,-80.6184996888301
"41",6.08225,50.7775833333333,-78.4733104390781
"42",6.08226666666667,50.7776,-79.2930491903272
"43",6.08228333333333,50.7776,-80.1199401375337
"44",6.08231666666667,50.7776166666667,-81.9527943235867
"45",6.08233333333333,50.7776333333333,-81.8416975436341
"46",6.08236666666667,50.7776333333333,-84.1768583238142
"47",6.08238333333333,50.7776333333333,-85.4023773662689
"48",6.08241666666667,50.77765,-85.5456940055713
"49",6.08243333333333,50.7776666666667,-85.2903756090191
"50",6.08246666666667,50.7776833333333,-83.9334411652707
"51",6.08248333333333,50.7776833333333,-83.8556847573747
"52",6.08251666666667,50.7776833333333,-84.0400688547228
"53",6.08253333333333,50.7777,-85.9906628395871
"54",6.08256666666667,50.7777,-87.3600948896517
"55",6.0826,50.7777166666667,-89.2675192497654
"56",6.08616666666667,50.7773666666667,-96.3256064375822
"57",6.0862,50.7773666666667,-94.5670016300602
"58",6.08265,50.7776833333333,-86.6727871663371
"59",6.08268333333333,50.7777,-85.467786964966
"60",6.0827,50.7777,-85.6639138403442
"61",6.08273333333333,50.7777,-86.023434622448
"62",6.08275,50.7777166666667,-86.9074455974631
"63",6.08278333333333,50.7777166666667,-85.1574138338621
"64",6.08281666666667,50.7777166666667,-86.0512532157414
"65",6.08283333333333,50.7777333333333,-84.5155316212855
"66",6.08286666666667,50.7777333333333,-82.247513778735
"67",6.0829,50.7777333333333,-82.9924751839209
"68",6.08291666666667,50.7777333333333,-82.4736748212737
"69",6.08295,50.7777333333333,-82.4769317733494
"70",6.08296666666667,50.77775,-81.2028230467984
"71",6.083,50.77775,-81.0033212350475
"72",6.08303333333333,50.77775,-81.1031551024751
"73",6.08305,50.7777666666667,-78.4785814428365
"74",6.08308333333333,50.7777666666667,-78.0294615259258
"75",6.08311666666667,50.7777666666667,-78.8307280222973
"76",6.08313333333333,50.7777833333333,-79.8014672459385
"77",6.08316666666667,50.7777833333333,-83.8388154803199
"78",6.0832,50.7777833333333,-81.2433787093117
"79",6.08321666666667,50.7778,-77.5241064769785
"80",6.08325,50.7778,-77.595845861782
"81",6.08326666666667,50.7778166666667,-76.0467147569345
"82",6.0833,50.7778166666667,-77.1292127825407
"83",6.08333333333333,50.7778166666667,-80.8611527634661
"84",6.08335,50.7778333333333,-81.0271502040639
"85",6.08338333333333,50.7778333333333,-80.3784952117591
"86",6.08341666666667,50.77785,-79.9970475049841
"87",6.08343333333333,50.77785,-80.6329881714344
"88",6.08346666666667,50.77785,-78.5931587472127
"89",6.0835,50.7778666666667,-77.4135290409614
"90",6.08351666666667,50.7778666666667,-75.086410531971
"91",6.08355,50.7778666666667,-73.2194800421134
"92",6.08358333333333,50.7778666666667,-74.3435160536056
"93",6.0836,50.7778833333333,-75.6628269335475
"94",6.08621666666667,50.7773666666667,-95.1477533243461
"95",6.08625,50.7773666666667,-93.6819478087709
"96",6.08375,50.7779166666667,-75.8336859740025
"97",6.08378333333333,50.7779333333333,-76.6530778491215
"98",6.0838,50.7779333333333,-73.3427395052711
"99",6.08381666666667,50.77795,-73.9096562408553
"100",6.08383333333333,50.7779666666667,-73.6944820502736
"101",6.08386666666667,50.7779666666667,-71.7025843300854
"102",6.08388333333333,50.7779833333333,-72.2335490761599
"103",6.0839,50.778,-73.6893732951517
"104",6.08391666666667,50.7780166666667,-75.119471326179
"105",6.08395,50.7780166666667,-74.2207909981408
"106",6.08396666666667,50.7780333333333,-75.7816974944151
"107",6.08398333333333,50.77805,-76.9796637154716
